strain,phage,interaction
ROAR274,LF82_P8,1
ECOR42,LF82_P8,1
ROAR036,LF82_P8,0
NILS05,LF82_P8,0
ROAR387,LF82_P8,0
B6A1,LF82_P8,0
ECOR31,LF82_P8,1
LMR3158,LF82_P8,1
ROAR131,LF82_P8,1
ROAR059,LF82_P8,1
EDL933,LF82_P8,0
ECOR37,LF82_P8,1
ROAR029,LF82_P8,1
ROAR012,LF82_P8,1
NILS45,LF82_P8,1
TW10509,LF82_P8,0
NILS31,LF82_P8,0
370D,LF82_P8,0
M863,LF82_P8,1
B49,LF82_P8,0
ECOR54,AL505_Ev3,0
ECOR52,AL505_Ev3,0
ECOR51,AL505_Ev3,1
ECOR55,AL505_Ev3,1
ECOR57,AL505_Ev3,1
NILS59,AL505_Ev3,1
NILS71,AL505_Ev3,0
ECOR56,AL505_Ev3,1
NILS74,AL505_Ev3,1
NILS79,AL505_Ev3,1
NILS72,AL505_Ev3,1
NILS29,AL505_Ev3,1
NILS65,AL505_Ev3,1
536,AL505_Ev3,1
NILS81,AL505_Ev3,1
NILS82,AL505_Ev3,1
NILS78,AL505_Ev3,1
NILS57,AL505_Ev3,1
AL505,AL505_Ev3,1
NILS67,AL505_Ev3,1
ECOR61,AL505_Ev3,1
ECOR62,AL505_Ev3,1
NILS68,AL505_Ev3,1
NILS21,AL505_Ev3,1
NILS66,AL505_Ev3,1
ECOR59,AL505_Ev3,0
ECOR60,AL505_Ev3,1
NILS75,AL505_Ev3,0
NILS70,AL505_Ev3,0
ECOR53,AL505_Ev3,0
NILS54,AL505_Ev3,1
T145,AL505_Ev3,1
NILS62,AL505_Ev3,1
MT1B1,AL505_Ev3,1
NILS61,AL505_Ev3,1
LF82,AL505_Ev3,1
NILS26,AL505_Ev3,1
NILS80,AL505_Ev3,1
ED1A,AL505_Ev3,1
NILS20,AL505_Ev3,1
381A,AL505_Ev3,1
ECOR65,AL505_Ev3,1
NILS77,AL505_Ev3,0
ECOR64,AL505_Ev3,0
NILS28,AL505_Ev3,0
NILS58,AL505_Ev3,0
ECOR63,AL505_Ev3,1
NILS64,AL505_Ev3,0
NILS25,AL505_Ev3,1
NILS55,AL505_Ev3,0
NILS27,AL505_Ev3,1
NILS73,AL505_Ev3,0
NILS19,AL505_Ev3,0
LM33,AL505_Ev3,0
NILS44,AL505_Ev3,0
NILS53,AL505_Ev3,0
NILS76,AL505_Ev3,0
NILS63,AL505_Ev3,1
NILS69,AL505_Ev3,1
ECOR66,AL505_Ev3,0
DEC2A,AL505_Ev3,0
DEC1A,AL505_Ev3,0
NILS60,AL505_Ev3,0
ROAR434,AL505_Ev3,0
921A,AL505_Ev3,0
916A,AL505_Ev3,0
ECOR38,AL505_Ev3,0
ECOR39,AL505_Ev3,0
ECOR41,AL505_Ev3,0
ECOR40,AL505_Ev3,0
IAI39,AL505_Ev3,0
ECOR35,AL505_Ev3,0
ECOR36,AL505_Ev3,0
NILS36,AL505_Ev3,0
NILS01,AL505_Ev3,0
NILS39,AL505_Ev3,1
NILS50,AL505_Ev3,0
NILS46,AL505_Ev3,0
NILS18,AL505_Ev3,1
